nearest_gene_name,chrom,label,label_max,n_unique_patients,n_site_obs,dist_to_nearest_tss,in_gene_body,dist_to_nearest_cancer_tss,gene_length,in_repeat,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,gtex_thymus_tpm,gtex_whole_blood_tpm,gtex_spleen_tpm,gtex_immune_mean_tpm
APCDD1,chr18,3.305737859467144,5.204006687076795,6,11,26967,1,34198571.0,35314,1,2,0,0.78,60,3,56,0,0.0,122.0,0,0.0,0.2706055958278094,1.7517791343018612,1.0019211224074556
APCDD1L,chr20,3.3806282791774422,4.804021044733257,12,43,20180,1,344499.0,56947,1,4,0,0.77,94,1,61,5,0.0,31.0,0,0.0,0.008630827027398256,0.01648674366857052,0.015454291547641281
APCS,chr1,3.368342013160054,4.663439094112067,4,8,40498,0,2034479.0,1039,1,0,191761,,1,1,0,0,0.0,641.0,0,0.0,0.06419002291912068,0.10381392029554566,0.05691232800775826
APEH,chr3,3.577427148220357,5.805134968916488,8,18,32758,1,,9990,1,1,0,0.74,17,0,15,0,,,0,0.0,3.2967808647417276,4.019110828431339,4.03781359855294
APELA,chr4,4.172102340405583,6.220590170099739,9,10,30347,0,,22063,0,0,57877,,15,1,12,0,,,0,0.0,0.0,0.0,0.7866481489703131
APEX1,chr14,3.213867724301829,3.951243718581428,3,3,8178,0,113033.0,3254,0,1,0,0.83,10,4,6,0,0.0,514.0,0,0.0,3.6825997781566278,4.887525596934148,4.999425138886424
APEX2,chrX,5.3706380281276624,5.3706380281276624,1,1,3944,1,,8726,1,1,0,0.91,17,1,16,0,,,0,0.0,2.1246514950122686,3.0774320690372927,3.163926451653324
APH1A,chr1,3.6035373161088735,4.804021044733257,3,5,3138,1,604053.0,4181,0,1,0,0.82,10,3,7,0,0.0,102.0,0,0.0,4.297220097963804,4.959173564471656,4.774643444652844
API5,chr11,3.518192114592189,5.003946305945459,4,13,797043,0,3762725.0,32575,1,1,0,0.96,14,2,8,1,0.0,87.0,0,0.0,2.4177068127108043,3.745040009147232,3.8689331635070676
APIP,chr11,3.2425676487453514,5.262690188904886,15,76,90869,1,2571825.0,63426,0,1,0,0.82,68,2,49,6,0.0,92.0,0,0.0,0.81330073764229,2.1522678893321934,2.1053687576873306
APLF,chr2,3.725816855970152,6.20050917404269,7,18,3723,1,43128705.0,188290,0,3,0,0.9067,132,2,71,8,,,0,0.0,0.16705646927570764,0.9310019887398483,0.6988179049005143
APLNR,chr11,3.627494816378973,5.303304908059076,4,5,37115,0,4155677.0,3673,1,0,87147,,9,0,9,0,0.0,358.0,0,0.0,0.03429736333191162,4.627009952592547,3.5484272593193786
APLP2,chr11,3.589037359053809,6.093569770045136,10,13,31103,1,10892952.0,76664,0,2,0,0.925,108,4,98,0,0.0,184.0,0,0.0,5.241582980442679,4.807433249322946,4.685524844999749
APMAP,chr20,2.724148939447593,3.828641396489095,3,3,8472,1,12360363.0,29857,0,1,0,0.87,47,3,43,0,0.0,91.0,0,0.0,5.535277034255339,4.717668169214784,4.945979669806082
APOA1,chr11,3.49799641352952,6.375024819828097,16,171,46265,1,259816.0,2453,1,1,0,0.96,7,3,4,0,0.0,1080.0,0,0.0,0.380038576264932,1.0556491145691893,0.6216515368927632
APOA4,chr11,3.656202460251973,5.267858159063328,8,16,8908,0,329888.0,2604,0,1,0,0.79,8,2,6,0,0.0,371.0,0,0.0,0.0,0.04611964913528443,0.015610749063105679
APOA5,chr11,3.4936909176967856,5.91350300563827,10,22,1439,1,352697.0,4012,0,1,0,0.79,9,1,8,0,0.0,206.0,0,0.0,0.0,0.015069975356857135,0.005048601006737454
APOB,chr2,3.60911622421699,5.214935757608986,11,20,45372,0,4343889.0,42644,0,1,0,1.36,90,2,23,7,0.0,1039.0,0,0.0,0.014923193176620126,0.2407964185507922,0.09479501682763211
APOBEC1,chr12,3.425780629700773,5.8522024797744745,10,62,77467,0,973459.0,16508,1,0,20748,,10,1,6,0,0.0,297.0,0,0.0,0.0,0.0,0.0
APOBEC2,chr6,3.3647110113969334,5.424950017481403,9,11,6668,1,,11690,0,0,7351,,25,1,24,0,,,0,0.0,0.3696624401106596,0.3143303324920974,0.3678465419428156
APOBEC3A,chr22,3.357788810842275,5.638354669333745,16,160,36632,0,66238.0,10443,1,0,25218,,17,2,13,0,0.0,176.0,0,0.0,5.283680772295021,3.9462079836014095,4.422881992637571
APOBEC3B,chr22,3.667074447251496,4.727387818712341,4,5,8538,0,8538.0,10457,0,0,54824,,15,1,14,0,2.0,303.0,1,0.0,1.615344434538169,1.8210496269736585,2.8698470032621217
APOBEC3F,chr22,3.057808431944112,3.6375861597263857,6,6,12721,1,70978.0,15368,1,0,89045,,27,2,23,0,0.0,113.0,0,0.0,1.1397734256730505,2.225340051533643,2.3865306362255923
APOBEC3G,chr22,3.2355569179555386,4.553876891600541,13,21,12132,0,82580.0,10684,1,0,57274,,19,1,18,0,0.0,183.0,0,0.0,3.2734018882227662,3.7481266571362775,4.221508153924004
APOBEC3H,chr22,3.2806755885004897,5.564520407322694,15,83,3221,0,111656.0,6843,1,0,40950,,13,2,10,0,0.0,107.0,0,0.0,1.1964586435991096,1.6354973953095586,2.4586593501310747
APOBEC4,chr1,3.3566015905006963,4.605170185988092,5,5,144056,0,9318360.0,7041,0,0,10077,,11,1,10,0,0.0,26.0,0,0.0,0.0,0.0,0.007076502390787244
APOBR,chr16,3.8489796582590943,4.382026634673881,4,5,173,1,2685668.0,4325,0,1,0,0.71,11,2,9,0,0.0,96.0,0,0.0,5.114670932491666,4.221248835587277,4.385861314548647
APOC2,chr19,2.302585092994046,2.302585092994046,1,1,571,1,425780.0,3871,0,0,5376,,9,3,5,0,0.0,237.0,0,0.0,0.21387270955603038,1.0214468266394545,0.5524415430445643
APOC3,chr11,4.078049394929463,5.765191102784844,8,17,1337,0,318602.0,6324,0,0,2422,,18,3,13,0,0.0,410.0,0,0.0,0.4638113717306924,0.44781297788842434,0.34648576679739373
APOC4,chr19,3.4685152844010765,4.634728988229636,4,5,5968,0,434651.0,3261,1,0,9460,,6,1,4,0,0.0,111.0,0,0.0,0.0,0.33633508435912857,0.1777659178329132
APOC4-APOC2,chr19,2.833213344056216,2.833213344056216,1,1,1674,1,427006.0,7327,1,0,5391,,15,4,9,0,0.0,26.0,0,0.0,0.0,,0.0
APOD,chr3,3.399131899224448,5.442417710521793,12,20,46288,0,,15328,1,0,25165,,22,1,20,0,,,0,0.0,1.0899952685609955,1.935657772590962,1.479336060776714
APOE,chr19,2.9907071056272403,3.091042453358316,2,2,3863,1,470994.0,5609,1,1,0,0.77,13,2,11,0,0.0,1616.0,0,0.0,1.325827539352373,6.510709131758654,5.423137612484285
APOF,chr12,3.439468418538613,6.513230110912307,15,70,9462,0,295520.0,2289,1,0,29,,6,1,5,0,0.0,99.0,0,0.0,0.029363249141700746,0.08914795953735827,0.09467755549733452
APOH,chr17,3.437219850551938,5.84354441703136,11,22,16908,1,677550.0,44930,0,0,19127,,50,1,30,2,0.0,521.0,0,0.0,0.20395746991454164,0.20285839161799452,0.14009377137179807
APOL1,chr22,3.5184894864271805,6.371611847231857,6,51,5014,0,2734290.0,14459,1,0,54875,,23,1,22,0,0.0,359.0,0,0.0,2.3189366742358337,4.164450369721508,3.8189654598704434
APOL2,chr22,3.6925026621721297,6.104793232414985,7,22,96,1,2742489.0,13745,0,0,82451,,25,3,20,0,0.0,92.0,0,0.0,3.4663981834434785,3.981799036831964,3.7570535460479313
APOL3,chr22,3.5284074885310424,6.910750787961936,10,90,883,1,2817053.0,26385,1,0,73429,,55,3,52,0,0.0,69.0,0,0.0,2.178494707762995,3.955630237570484,3.3873868988887494
APOL4,chr22,3.3876731105644744,5.6240175061873385,11,49,12999,1,2790506.0,15716,0,0,117565,,27,2,25,0,0.0,65.0,0,0.0,0.18773686749522367,1.5744198756518493,0.8876296319106551
APOL5,chr22,3.255560385763165,4.553876891600541,11,17,32166,1,3232309.0,11611,0,0,165923,,16,0,13,2,0.0,22.0,0,0.0,0.0,0.0,0.0
APOL6,chr22,3.232309076966636,4.634728988229636,7,16,27865,0,3306096.0,20018,1,0,96437,,25,2,23,0,0.0,85.0,0,0.0,1.8499073008401758,2.751384237800872,2.4954626827551603
APOLD1,chr12,3.748818929639215,4.330733340286331,3,3,3115,0,37304.0,104058,0,3,0,0.98,122,3,114,1,0.0,93.0,0,0.0,0.2996363346866334,2.0644598748566656,1.457256581055483
APOM,chr6,3.6705252334890006,5.726847747587197,11,20,13183,1,,5794,0,2,0,0.975,15,3,9,0,,,0,0.0,1.1229991634685352,1.5872147981213,1.4919553316366347
APOO,chrX,3.469849950694731,5.666426688112432,10,17,48486,0,,74717,1,1,0,0.92,78,2,66,2,,,0,0.0,1.114390488940933,2.0351944172600964,2.211279052579725
APP,chr21,3.713572066704308,3.713572066704308,1,1,159467,1,9993006.0,290593,0,1,0,0.87,338,5,323,0,0.0,1245.0,0,0.0,2.8174844080012638,4.725421284581077,4.156993277968463
APPBP2,chr17,3.032116651972902,3.6375861597263857,6,6,16659,1,90152.0,83084,1,1,0,0.97,88,1,72,6,0.0,89.0,0,0.0,1.116317947620361,2.2702302755424975,2.072560420978803
APPL1,chr3,3.863326832423821,3.9889840465642745,2,2,29053,1,,50401,0,1,0,0.96,30,1,21,1,,,0,0.0,1.4651725448446957,2.7350490952689848,3.0034853076293073
APPL2,chr12,3.420659151263201,6.673297967767654,14,98,52821,1,6115958.0,63736,0,1,0,0.93,121,3,113,1,0.0,123.0,0,0.0,2.2319995252681033,3.274215919901365,2.689495794454403
APRT,chr16,3.4782694557912714,6.228511003591184,13,35,17636,1,147608.0,2624,0,1,0,0.93,8,1,7,0,0.0,615.0,0,0.0,4.427314243480079,5.072940072286596,5.076036567955644
APTX,chr9,2.943052015725078,4.0943445622221,2,2,3452,1,,138529,0,4,0,0.82,92,3,56,5,,,0,0.0,1.5776954076487273,2.7674882368508227,2.811019459983099
AQP10,chr1,3.437765540050233,4.406719247264253,6,9,8087,0,1769569.0,4235,0,0,237,,11,2,8,0,0.0,46.0,0,0.0,1.124130576554961,0.5670333525147058,0.6662159349327343
AQP11,chr11,3.458933696219128,4.174387269895637,4,5,29286,1,7918962.0,21673,1,1,0,0.89,24,1,18,2,0.0,210.0,0,0.0,0.18070692063695126,0.9764672533086081,0.7187603449222456
AQP12B,chr2,2.4849066497880004,2.4849066497880004,1,1,2066,1,215338250.0,6488,1,0,3158,,3,1,1,0,,,0,0.0,0.0,0.01126669179258742,0.003769685797866045
AQP2,chr12,3.093104311950247,3.295836866004329,2,2,4911,1,894854.0,8141,0,1,0,0.77,20,2,18,0,0.0,429.0,0,0.0,0.0,0.0,0.0
AQP3,chr9,4.343805421853684,4.343805421853684,1,1,12421,0,,6440,1,1,0,0.79,14,1,13,0,,,0,0.0,1.9301915422115283,4.458811734407303,3.467692217135037
AQP4,chr18,3.3770760117547405,5.017279836814924,7,21,25508,0,17839910.0,13728,1,1,0,0.76,14,3,8,1,0.0,948.0,0,0.0,0.0,0.10715520424041879,0.04518777860109256
AQP5,chr12,4.059550418818743,4.983606621708336,2,2,2364,0,898653.0,3871,0,1,0,0.99,11,1,10,0,0.0,340.0,0,0.0,0.04056096845591596,0.15984586002876974,0.08849702287107855
AQP6,chr12,3.727755750013785,6.411818267709897,10,20,1360,1,907760.0,9945,0,1,0,0.85,24,3,21,0,0.0,83.0,0,0.0,0.0,0.024520207485563023,0.012386239505037061
AQP7,chr9,3.308885312390666,4.820281565605037,8,12,47793,1,,19503,0,0,44766,,23,4,18,0,,,0,0.0,0.05190445259232303,0.8224985992529354,0.3759397141974444
AQP7B,chr2,3.2314225650663864,5.14166355650266,12,54,2289622,0,66954889.0,25643,1,0,122891,,8,1,4,1,,,0,0.0,0.0,,0.0
AQP8,chr16,3.40584277909458,4.68213122712422,8,12,44937,1,6009340.0,13201,0,0,28533,,17,1,13,1,0.0,218.0,0,0.0,0.05376197468727744,0.20800148670418486,0.10922408246230275
AQP9,chr15,3.44799701513052,4.143134726391533,3,4,137608,1,7576189.0,47745,1,0,71591,,58,1,46,4,0.0,349.0,0,0.0,6.392414477123939,4.286577945277546,5.412313805048719
AQR,chr15,3.70837143230649,5.081404364984463,5,9,23568,1,5214826.0,117983,1,1,0,0.8,68,1,43,1,0.0,41.0,0,0.0,1.4078112045821403,2.4520045984454026,2.4523145851873407
AR,chrX,3.5472961905530047,5.602118820879701,8,42,437399,0,,187266,0,2,0,0.84,108,3,101,2,,,0,0.0,0.024183605019214155,0.5941386703546976,0.25138933658632007
ARAF,chrX,3.6196925611987023,4.820281565605037,6,9,24758,0,,10739,1,1,0,0.87,18,1,13,1,,,0,0.0,4.064888288057706,4.279553612857011,4.113296064887217
ARAP1,chr11,3.3797470953900275,6.447305862541213,16,165,29251,1,3123205.0,110395,0,5,0,0.802,216,12,193,1,0.0,99.0,0,0.0,4.805528105268144,4.631909483177713,4.567854883053916
ARAP2,chr4,3.4787573108443897,6.0867747269123065,16,293,595341,0,,296556,0,1,0,0.94,201,3,160,8,,,0,0.0,1.2579381256677482,2.2692609607865486,2.2017295996527824
ARB2A,chr5,3.386973196521589,6.1779441140506,15,74,79730,0,,496257,1,2,0,0.87,301,5,176,27,,,0,0.0,0.0,,0.0
ARC,chr8,2.138333059508028,2.19722457733622,2,2,22545,0,,3430,0,1,0,0.77,12,1,11,0,,,0,0.0,0.11549865065686996,0.6685993324906848,0.340981341027118
ARCN1,chr11,2.531110927811022,3.4011973816621555,5,5,11015,1,124919.0,30643,0,1,0,0.65,29,1,26,0,0.0,227.0,0,0.0,3.5706644501726856,4.129359327379,4.342407475484854
AREG,chr4,3.7318224014363848,5.817111159963204,7,14,38900,0,,10006,0,1,0,0.99,26,2,24,0,,,0,0.0,2.664989591641136,2.397875272598368,2.1966110558370544
AREL1,chr14,2.833213344056216,2.833213344056216,1,1,41393,1,9569029.0,59680,0,1,0,0.8,70,2,65,1,0.0,73.0,0,0.0,2.801194400500027,3.0106405902871094,3.026841652964452
ARF1,chr1,4.026703341901532,6.175867270105761,7,7,15058,0,13453016.0,17371,0,1,0,0.86,50,4,43,0,0.0,151.0,0,0.0,5.58812467907645,5.602959795574617,5.626873832147241
ARF4,chr3,3.269369140895154,4.736198448394496,10,30,8362,0,,26857,1,1,0,1.14,36,2,32,0,,,0,0.0,4.015631386995144,4.417498744044569,4.509771002223031
ARF5,chr7,3.332008968378281,4.820281565605037,6,11,30874,0,,3330,1,1,0,0.95,7,1,6,0,,,0,0.0,4.943718836797086,5.091243995411322,5.03410222359458
ARF6,chr14,3.813047762761299,4.672828834461906,5,6,90784,0,4847483.0,4446,1,1,0,0.89,12,1,11,0,0.0,231.0,0,0.0,3.754749120134907,4.212428293405793,4.330916656816163
ARFGAP2,chr11,3.520409177528291,5.673323267171493,11,42,92293,1,129276.0,13175,1,1,0,0.94,23,1,16,0,0.0,54.0,0,0.0,3.5725815650811485,4.395758174075786,4.132658347146258
ARFGAP3,chr22,3.416395923388009,5.017279836814924,10,28,67362,0,1698928.0,61604,0,1,0,1.05,75,1,69,0,0.0,47.0,0,0.0,3.259076826612348,3.7302492985370246,3.711905638333096
ARFGEF1,chr8,3.5835523819602217,7.56164174558878,10,32,141524,1,,170450,1,1,0,0.8,110,1,71,16,,,0,0.0,2.238238553426833,2.7962320039872575,2.755588788725575
ARFGEF2,chr20,3.2224005268586486,4.983606621708336,6,7,30424,1,2850386.0,114982,0,1,0,0.93,122,2,107,3,0.0,114.0,0,0.0,1.0001096851642222,2.907441897175055,2.899531163655954
ARFGEF3,chr6,3.315509742921212,5.937536205082426,12,18,19931,1,,182724,0,2,0,0.905,176,1,143,6,,,0,0.0,0.015120506786456697,0.376898267043745,0.17028794241180378
ARG1,chr6,3.37645216592181,5.332718793265369,10,26,59847,1,,113500,1,0,43615,,68,1,49,2,,,0,0.0,4.953698032270986,3.1773535852335524,4.018377391033575
ARG2,chr14,3.073629904270996,3.4011973816621555,5,5,5628,0,2511597.0,31788,1,1,0,0.81,33,1,28,0,0.0,278.0,0,0.0,0.5778401395972653,0.8418688643065759,0.8114611863378522
ARGFX,chr3,3.274641516314867,5.087596335232384,5,8,4024,0,,22673,1,0,21853,,9,0,7,1,,,0,0.0,0.0,0.0,0.0
ARGLU1,chr13,3.352058287817373,5.958424693029782,12,35,27516,0,3749846.0,26488,0,1,0,1.18,26,1,24,0,0.0,72.0,0,0.0,2.9260391569526463,5.193789837194102,4.634012226562985
ARHGAP1,chr11,3.553478630887565,7.042286171939743,6,11,28080,1,395260.0,23902,0,1,0,0.84,36,2,33,0,0.0,160.0,0,0.0,3.5065088961194424,4.628632774115758,4.118240651710095
ARHGAP10,chr4,2.4871659009961413,3.713572066704308,9,11,112509,1,,340858,1,1,0,1.0,381,3,355,5,,,0,0.0,0.8145281802184909,2.6503857769076715,2.5397054454976904
ARHGAP11A-SCG5,chr15,3.295836866004329,3.295836866004329,1,1,1741,0,7548904.0,83235,1,1,0,0.74,102,6,86,2,0.0,0.0,0,0.0,0.0,,0.0
ARHGAP12,chr10,3.5969376464180267,6.0867747269123065,15,74,143059,0,4924723.0,123478,0,2,0,0.82,98,2,80,2,0.0,51.0,0,0.0,0.9305052255752654,3.260535868127494,2.5752479394225003
ARHGAP15,chr2,3.4935369291582163,5.910796644040527,9,39,507418,1,118256190.0,676990,1,0,168411,,560,3,445,22,,,0,0.0,3.4933480299448108,3.1662890627328535,3.338339225697685
ARHGAP17,chr16,3.702819650745165,5.978885764901122,13,34,10424,1,6174892.0,96277,1,1,0,0.92,120,1,109,1,0.0,85.0,0,0.0,2.419843546636897,4.489888394610548,4.307287822556824
ARHGAP18,chr6,3.2190863174154285,3.80666248977032,7,8,12681,1,,134115,0,0,308794,,195,3,175,3,,,0,0.0,1.4722289085366083,2.3061865997757134,2.707239205667628
ARHGAP19,chr10,4.204692619390966,4.204692619390966,1,1,3252,0,5208027.0,70500,0,1,0,0.88,59,3,49,1,0.0,25.0,0,0.0,2.1684558073814126,3.0516540897888524,3.0826844404574048
ARHGAP19-SLIT1,chr10,3.1779488901619755,6.003887067106539,4,7,49439,1,5260754.0,139592,0,3,0,0.93,150,7,118,5,0.0,3.0,0,0.0,0.0,,0.0
ARHGAP20,chr11,3.564133382649119,5.241747015059643,8,16,58605,1,801046.0,136147,0,1,0,0.86,73,4,28,11,0.0,58.0,0,0.0,0.015842344738650285,0.633803675263189,0.2940389496264987
ARHGAP21,chr10,2.6713339978528468,4.189654742026425,3,5,405767,1,2542974.0,140278,1,1,0,0.94,128,6,108,2,0.0,184.0,0,0.0,0.8075467208684415,2.5869667249791477,2.2414080269417243
ARHGAP22,chr10,3.124900144490799,3.7612001156935615,5,5,31541,1,5547698.0,210229,0,6,0,0.805,323,8,280,4,0.0,92.0,0,0.0,0.29895059351629366,0.6154801903003608,0.4045880569445419
ARHGAP23,chr17,3.404039124538111,6.313548046277095,17,135,73243,1,968914.0,93105,1,6,0,0.86,153,3,139,3,0.0,52.0,0,0.0,0.21962536976489858,3.60265140660528,2.5895974412306213
ARHGAP24,chr4,3.6388536831467833,6.400257445308821,15,68,185099,1,,527518,0,1,0,1.12,471,4,426,6,,,0,0.0,1.4475611296571573,2.452417892751268,1.806065536596411
ARHGAP25,chr2,3.5913853887620006,5.726847747587197,9,40,23034,1,43360045.0,147232,1,0,24159,,194,2,182,0,,,0,0.0,4.213553247823163,4.120796601722561,3.7960489575662626
ARHGAP26,chr5,3.2732167393132303,5.198497031265826,12,75,31871,0,,458634,1,1,0,0.98,657,5,629,5,,,0,0.0,3.336175188018338,2.5930208705174445,2.7871028803978035
ARHGAP27,chr17,3.444731599116228,6.118097198041348,9,29,21675,1,2242501.0,40523,0,3,0,0.7733,76,8,64,0,0.0,77.0,0,0.0,4.368817273947334,4.3003256778649055,4.063808032160449
ARHGAP28,chr18,4.282991677792834,4.653960350157523,2,2,5063,1,37945430.0,186036,0,1,0,0.98,159,2,131,7,0.0,61.0,0,0.0,0.004130447943103454,1.9098935543704678,1.0723503074572007
ARHGAP29,chr1,3.14578456977916,3.80666248977032,2,2,60528,0,1503606.0,126080,0,2,0,1.025,128,2,121,0,0.0,97.0,0,0.0,0.09190903883972258,2.7612370349451782,1.7907544699409634
ARHGAP30,chr1,3.841836358539596,4.90527477843843,6,8,3700,1,589133.0,23024,0,0,7906,,30,1,26,0,0.0,99.0,0,0.0,5.187519875065365,4.921833223862961,5.0607726984780514
ARHGAP31,chr3,4.447107930529176,4.919980925828125,3,3,70461,1,,126362,1,3,0,0.8267,150,4,132,5,,,0,0.0,0.7843854449941932,2.1882354066428205,2.308687104463287
ARHGAP32,chr11,3.8112901499234906,5.327876168789581,9,14,156452,1,9916574.0,314264,0,1,0,1.11,221,3,156,13,0.0,91.0,0,0.0,0.20493395846459814,1.3034425031423655,0.6891507889475247
ARHGAP33,chr19,3.684611219893467,6.042632833682381,5,10,2465,0,2469533.0,14290,1,1,0,1.13,36,1,32,0,0.0,40.0,0,0.0,1.4713980863650802,2.766004594362766,2.4477647965295777
ARHGAP35,chr19,3.37723602714451,5.313205979041787,12,54,4513,1,4513.0,144080,0,2,0,0.96,226,1,208,0,5.0,295.0,1,0.0,1.2166945388146317,2.6236245690998232,2.5028123265051154
ARHGAP36,chrX,3.426448801639606,5.755742213586912,13,60,58531,0,,31539,1,3,0,0.81,26,4,16,1,,,0,0.0,0.0,0.011923630141605997,0.003990361241599183
ARHGAP39,chr8,3.396615399074568,6.12029741895095,13,144,46652,1,,156700,1,13,0,0.7846,237,3,196,14,,,0,0.0,0.07041428746311566,1.2082705557476776,0.6179732096621695
ARHGAP4,chrX,3.580584064270608,5.662960480135946,14,38,11361,1,,27632,0,3,0,0.9267,54,4,47,0,,,0,0.0,5.24307417631945,5.493867702588331,5.125345366118985
ARHGAP42,chr11,3.5600618922173184,5.860786223465865,9,25,652861,1,2075672.0,306653,1,1,0,1.17,315,4,267,15,0.0,150.0,0,0.0,0.07526701449028643,1.3525746894547614,0.8395395567146221
ARHGAP44,chr17,3.575126562995545,5.236441962829949,3,3,45770,1,814440.0,202145,0,2,0,0.82,159,5,112,11,0.0,98.0,0,0.0,0.06403320598737276,0.9020660389370327,0.7513072462828144
ARHGAP45,chr19,3.3169709356645107,7.174724309836376,14,112,11072,1,122707.0,20719,0,5,0,0.79,53,5,48,0,0.0,231.0,0,0.0,5.521884827999647,5.056971656504291,5.125313267117737
ARHGAP5,chr14,3.440256577579228,5.963579343618446,13,61,252001,1,4697356.0,83934,0,1,0,1.08,68,2,50,1,0.0,222.0,0,0.0,0.5186086572309027,2.604488067385763,2.114807438733853
ARHGAP6,chrX,2.787974551573158,3.091042453358316,2,2,41808,0,,548269,1,3,0,0.7567,420,4,286,26,,,0,0.0,0.2566572411145311,2.087593226235154,1.5213970602621458
ARHGAP8,chr22,2.302585092994046,2.302585092994046,1,1,115857,0,3776588.0,110241,1,2,0,0.945,117,1,91,5,0.0,106.0,0,0.0,0.4286587115666611,2.900877490041033,1.9425268129755446
ARHGAP9,chr12,3.417643076170327,4.976733742420574,11,18,8856,1,24057.0,16562,0,2,0,0.85,40,6,34,0,0.0,86.0,0,0.0,5.602886054156241,5.114220234352632,5.10089313635093
ARHGDIB,chr12,3.2736760923525887,5.262690188904886,3,4,9856,1,2266631.0,19970,0,0,138478,,39,2,37,0,0.0,187.0,0,0.0,7.2093550493929035,6.460592793317764,6.816307895630719
ARHGDIG,chr16,4.772047316265173,5.187385805840755,1,2,2171,0,74451.0,2560,1,2,0,0.79,9,2,7,0,0.0,26.0,0,0.0,0.09207458727950563,0.3926830985009601,0.20005166754025944
ARHGEF1,chr19,3.341153624670601,5.1298987149230735,7,13,2375,1,8175.0,47071,1,5,0,0.822,105,4,98,0,0.0,394.0,0,0.0,5.273291823542484,5.608757254247091,5.2689881046267635
ARHGEF10,chr8,4.361662892807897,5.293304824724492,3,4,18146,1,,135310,0,8,0,0.8288,246,3,225,3,,,0,0.0,0.22659678204386213,2.28192003391046,1.4508368666245244
ARHGEF10L,chr1,3.5910261934044185,5.831882477283517,6,24,42466,0,1133944.0,158508,1,3,0,0.8567,265,3,242,3,0.0,158.0,0,0.0,1.0448950061621218,2.7349257951075647,1.8817574836245834
ARHGEF11,chr1,3.0115146065211365,4.912654885736052,4,13,56730,1,174537.0,112063,1,1,0,1.17,104,2,76,4,0.0,100.0,0,0.0,2.627187157044771,3.0891588623322,2.5611413469532884
ARHGEF12,chr11,4.138578886215905,4.23410650459726,2,2,10351,1,1140291.0,153699,0,1,0,0.93,129,4,99,4,0.0,340.0,0,0.0,1.420504948372492,3.048656736861878,2.655509579417701
ARHGEF15,chr17,2.8903717578961645,2.8903717578961645,1,1,3710,0,150025.0,12886,1,0,3750,,24,2,15,0,0.0,113.0,0,0.0,0.06935319322994131,2.6129186720055637,1.6578004359719611
ARHGEF16,chr1,3.7657580076321375,5.811140992976701,7,32,151701,1,233681.0,26577,1,2,0,0.715,72,4,67,0,0.0,90.0,0,0.0,0.040433343005038334,0.8719207841382145,0.39600557412783804
ARHGEF17,chr11,3.3696061943395343,5.37989735354046,9,37,10506,1,3656627.0,61112,1,3,0,0.8967,128,3,121,1,0.0,65.0,0,0.0,0.48279521693290317,3.239595678442541,2.3754562386884
ARHGEF18,chr19,3.577255744569324,4.543294782270004,7,7,60568,1,3094053.0,123548,1,4,0,0.84,140,2,123,3,0.0,91.0,0,0.0,3.148144299941802,4.08365429101391,3.6801531571588626
ARHGEF19,chr1,3.3642788489604323,5.857933154483459,15,81,16389,0,360409.0,15039,0,1,0,0.82,29,1,23,0,0.0,41.0,0,0.0,1.007435886353695,2.205901270173992,1.6179145506748083
ARHGEF2,chr1,3.563692231843048,5.602118820879701,12,30,20355,1,95857.0,60219,0,2,0,0.765,100,7,93,0,0.0,708.0,0,0.0,3.945912223694438,4.031227252906622,3.943968601023851
ARHGEF26,chr3,3.4295109888770554,4.882801922586371,10,31,102856,0,,136824,1,1,0,0.84,127,2,107,2,,,0,0.0,0.06673420261379347,0.9687845053981954,0.4757583515227184
ARHGEF28,chr5,3.4491526960700987,6.240275845170769,14,53,442648,0,,316634,1,2,0,0.79,333,4,291,7,,,0,0.0,0.06718601343498329,1.3810204786171825,0.8059833934318266
ARHGEF3,chr3,3.044522437723423,3.044522437723423,1,1,8634,1,,351911,1,2,0,0.785,460,7,428,3,,,0,0.0,2.0858907010740153,2.565133955806829,2.292358310598338
ARHGEF33,chr2,3.5152707098100686,4.48863636973214,8,14,76486,1,13623771.0,85579,0,1,0,0.95,70,2,42,6,,,0,0.0,0.010465148806711002,0.2231483513026898,0.09675092930492991
ARHGEF35,chr7,3.555675861102801,5.068904202220232,4,7,1481,0,,12991,0,1,0,0.79,1,1,0,0,,,0,0.0,0.0898034089716146,0.5330412198629293,0.525082746271509
ARHGEF4,chr2,3.174569495689899,3.951243718581428,2,2,96175,1,105590499.0,210349,1,5,0,0.896,215,4,164,12,,,0,0.0,0.12862010195631413,0.22921388947389024,0.164179084011691
ARHGEF5,chr7,3.779676159677396,5.030437921392435,6,12,21358,0,,25344,0,1,0,0.79,4,0,0,1,,,0,0.0,0.3577730408096189,1.1126203822559533,0.9903439691966199
ARHGEF7,chr13,4.060443010546419,4.060443010546419,1,1,48789,1,8317517.0,191178,0,4,0,1.0125,250,11,222,1,0.0,550.0,0,0.0,1.7975476851386563,3.491397557911817,3.2902475712538983
ARID1A,chr1,3.9644822450484463,6.320768294250582,15,45,73310,0,73310.0,88868,0,1,0,1.01,126,6,112,0,5.0,784.0,1,0.0,2.4980531874578875,3.6471273396662216,3.536728163065046
